page,part_number,description,price,includes
15,NX-5400-ISCK2,"700 / 800 MHz, 3.0 Watts NXDN Conventional / TYPE-C (Gen1/Gen2) Trunking",1094.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
15,KRA-36,700/800 MHz Stubby Antenna,33.50,
16,KSC-52BK,Rapid rate single unit charger for KNB-L1/KNB-L2/KNB-L3/KNB-LS5/KNB-LS7/KNB-33L/PB-,107.00,
20,FEATURES,•,153.60,
20,NX-3200K2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",847.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
20,NX-3200K3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",912.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
20,NX-3300K,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",781.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
20,NX-3300K2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",847.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
20,NX-3300K3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",912.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3200-ISCK,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",781.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3200-ISCK2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",847.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3200-ISCK3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",912.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3300-ISCK,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",781.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3300-ISCK2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",847.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,NX-3300-ISCK3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",912.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
21,KWD-3001FP,License Key for Front Panel Programming,148.50,
21,KWD-3002BT,License Key for Bluetooth Data (Required for Data Communication),41.70,
21,KWD-3302TR,License Key for DMR Tier 3 Trunking,118.80,
21,KWD-3501TR,"License Key for Digital Trunking (Includes NXDN Type-C and Type-C Gen2, and Trunking 2.5)",49.50,
21,KWD-3502EE,License Key for DMR ARC4 Enhanced Encryption,47.50,
21,KWD-3503AE,License Key for AES/DES Encryption,534.70,
21,KWD-3504RC,License Key for Remote Control by Subscriber Unit,47.50,
21,KWD-3505DE,License Key for DES Encryption,118.80,
22,KRA-26M,VHF helical antenna 146-162 MHz,22.00,
22,KNB-57LAM,"2000 mAh, Li-ion battery, IP67, battery only, best for conventional mode operation",133.50,
22,KNB-55LAM,"1480 mAh, Li-ion battery, IP67, battery only",84.70,
22,KNB-56N,"1400 mAh, Ni-MH battery, IP67, battery only",107.00,
22,KNB-79LCM,"CSA US Intrinsically Safe Battery Li-ion 2860mAh, IP67, battery only",216.70,
22,KBP-5,AA Alkaline Refillable Battery Pack (6 AA; 9V) cells not included,72.20,
22,KSC-25LSK,100~240 volt rapid rate single unit charger for,64.70,
22,KSC-25SK,110 volt Rapid rate single unit charger for,83.20,
22,KMB-16,Six Unit Charger Adapter for the KSC-16/20/24/25/25L chargers,249.50,
22,KMB-23,Six Unit Charger Adapter for the KSC-16/20/24/25/25L/32 chargers,381.30,
22,KVC-4,Vehicular charger adapter for the KSC-16/18/20/24/25SK chargers,156.20,
23,KLH-206K,Heavy-Duty Leather Case w/Swivel Belt Loop for Basic Model,65.50,
23,KLH-206K2,Heavy-Duty Leather Case w/Swivel Belt Loop for Standard Keypad Model,65.50,
23,KLH-206K3,Heavy-Duty Leather Case w/Swivel Belt Loop for Full Keypad Model,65.50,
23,KLH-207K,Nylon carrying case for Basic Model,35.20,
23,KLH-207K2,Nylon carrying case for Standard Keypad Model,35.20,
23,KLH-207K3,Nylon carrying case for Full Keypad Model,35.20,
23,KMC-40,"MIL-SPEC, Speaker Mic. with Antenna Connector",495.00,
24,L-961,"Assemble KMB-23 with six KSC-24/25/25L/32 (Rapid Rate, 120 Volt versions only)",18.00,
24,L-5001,Factory Activation of Radio Feature Licenses (per Radio),129.70,
24,L-5052,NX-3000 Series Portables Programming (with basic TX/RX check),40.50,
24,L-5054,Installation AES/DES for NX-3000 Portable/Mobile,27.00,
24,L-5062,Configure NX-3000 series for CSA US Intrinsically Safe,36.00,
24,L-5068,Assemble Color Housing KWD-YH-3000U/P with NX-3000 series Portable,28.80,
26,NX-3400-ISCK3,"800/900MHz, 3.0 Watts, 512 CH, Full Key Model, NXDN Conv & Trunking",1121.80,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
26,KWD-3301CV,License Key for DMR Tier 2 Conventional,49.50,
26,KRA-38K,800/900 MHz Whip Antenna,46.80,
26,KRA-39,900 MHz Stubby Antenna,33.50,
31,NX-3220K2,"VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model",731.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220K3,"VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model",796.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",621.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K2,"UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model",731.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K3,"UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model",796.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220K2-TR,"VHF (136-174MHz), 5.0 Watts, 260CH, Standard Key Model",764.30,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220K3-TR,"VHF (136-174MHz), 5.0 Watts, 260CH, Full Key Model",829.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K-TR,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",654.30,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K2-TR,"UHF (400-520MHz), 5.0 Watts, 260CH, Standard Key Model",764.30,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K3-TR,"UHF (400-520MHz), 5.0 Watts, 260CH, Full Key Model",829.00,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K2-XLKVP,UHF Extra-Cap Li-Ion Value Pack : NX-3320K2+KNB-78L(2860mAh)+KSC-25LSK+KRA-27M,994.40,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K2LAKVP,UHF Hi-Cap Li-Ion Value Pack : NX-3320K2+KNB-57LAM(2000mAh)+KSC-25LSK+KRA-27M,951.70,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220KSLAKVP,VHF Li-Ion Value Pack : NX-3220K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,792.90,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220K2SLAKVP,VHF Li-Ion Value Pack : NX-3220K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,902.90,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220K3SLAKVP,VHF Li-Ion Value Pack : NX-3220K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-26M,967.60,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320KSLAKVP,UHF Li-Ion Value Pack : NX-3320K+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,792.90,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K2SLAKVP,UHF Li-Ion Value Pack : NX-3320K2+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,902.90,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320K3SLAKVP,UHF Li-Ion Value Pack : NX-3320K3+KNB-55LAM(1480mAh)+KSC-25LSK+KRA-27M,967.60,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220-ISCK,"VHF (136-174MHz), 5.0 Watts, 64 CH, Basic Model",621.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220-ISCK2,"VHF (136-174MHz), 5.0 Watts, 512 CH, Standard Key Model",731.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3220-ISCK3,"VHF (136-174MHz), 5.0 Watts, 512 CH, Full Key Model",796.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320-ISCK,"UHF (400-520MHz), 5.0 Watts, 64 CH, Basic Model",621.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320-ISCK2,"UHF (400-520MHz), 5.0 Watts, 512 CH, Standard Key Model",731.50,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
31,NX-3320-ISCK3,"UHF (400-520MHz), 5.0 Watts, 512 CH, Full Key Model",796.20,Belt Clip (KBH-11) | Universal Connector Cap | User Guide | Premium Warranty: 3 Years*
33,KMC-45D,"MIL-SPEC, IP54/55 Speaker microphone (Built-in 2.5mm miniature earphone jack)",115.30,
33,KMC-21A,Compact speaker microphone,69.00,
33,KHS-7C,Single muff headset w/boom mic no PTT,85.70,
33,KHS-7AC,Lt. Wt Single muff headset w/boom mic & in-line PTT,110.00,
33,KHS-8BL,Two-Wire palm mic w/earphone (black),146.70,
33,KHS-9BL,Three-Wire lapel mic w/earphone (black),237.00,
